Ans,,1,,,,,,,,,,
ALFALFA,7,ALPHA,ALPHA,,,,,,,,,
CAIRO,10,CHI,RHO,,,,,,,,,
CANAAN,10,K,NUN,,,,,,,,,
CAYENNE,10,CHI,N,,,,,,,,,
COFFEE,7,QOF,E,,,,COFFEE,QOF,PHI,,,
COFFIN,10,QOF,N,,,,,,,,,
DEBATE,10,D,BET,,,,,,,,,
EMU,10,E,MU,,,,,,,,,
HAIL,7,HE,L,,,,,,,,,
HAITIAN,7,HE,SHIN,,,,,,,,,
MUTATE,7,MU,TET,,,,,,,,,
NEWBIE,10,NU,B,,,,,,,,,
NEWER,10,NU,R,,,,,,,,,
NEWSIE,9,NU,Z,,,,,,,,,
PYRO,9,PI,RHO,,,,,,,,,
ROPEY,5,RHO,P,,,,,,,,,
ROSEY,9,RHO,Z,,,,,,,,,
ROTATE,9,RHO,TET,,,,,,,,,
ROWAN,10,RHO,N,,,,,,,,,
SCIFI,7,PSI,PHI,,,,SCIFI,XI,PHI,,,
SHINNY,9,SHIN,E,,,,,,,,,
YODEL,10,YOD,L,,,,,,,,,
ZERO,10,Z,RHO,,,,,,,,,
,,,,,,,,,,,,
,,2,,,,,,,,,,
COYOTE,10,CHI,O,T,,,,,,,,
CUTIEPIE,9,Q,T,PI,,,,,,,,
DECAPITATE,9,D,KAPPA,TET,,,,,,,,
EMOTION,10,M,O,SHIN,,,,,,,,
EMPIRE,10,M,PI,R,,,,,,,,
ENROLL,9,N,RHO,L,,,,,,,,
EROSION,9,E,RHO,SHIN,,,,,,,,
EXHALE,7,X,HE,L,,,,,,,,
EXPIRE,10,X,PI,R,,,,,,,,
FIERY,9,PHI,R,E,,,,,,,,
INCUBATE,10,N,Q,BET,,,,,,,,
MEMORY,10,MEM,R,E,,,,,,,,
ORATION,7,O,RESH,SHIN,,,ORATION,O,RESH,SHIN,,
RACIALLY,7,RESH,L,E,,,,,,,,
RATIO,7,RESH,E,O,,,,,,,,
RODEO,10,RHO,D,O,,,,,,,,
TETANUS,10,TET,N,S,,,,,,,,
ZIONISM,10,ZAYIN,S,M,,,,,,,,
ZSIGMONDY,8,SIGMA,N,D,,,,,,,,
,,,,,,,,,,,,
,,3,,,,,,,,,,
AVIATION,8,A,V,A,SHIN,,,,,,,
DEVIATION?,8,D,V,A,SHIN,,,,,,,
ELOCUTION,7,L,O,Q,SHIN,,,,,,,
EMISSARY,0,M,S,R,E,,,,,,,
EXECUTION,6,X,A,Q,SHIN,,,,,,,
IDEATION,8,I,D,A,SHIN,,,,,,,
RHODESIAN,7,RHO,D,Z,N,,,,,,,
,,,,,,,,,,,,
,,4,,,,,,,,,,
BEAUTIFIER,0,B,U,T,PHI,R,BEAUTICIAN,B,U,T,C,N
DENUNCIATION,7,D,NUN,C,A,SHIN,,,,,,
EMACIATION?,7,M,A,C,A,SHIN,,,,,,
EMANCIPATION,9,M,N,C,PE,SHIN,,,,,,
ENUNCIATION,7,E,NUN,C,A,SHIN,,,,,,
NEUROSCIENCY,7,NU,RHO,PSI,N,C,,,,,,
?,10,?,?,?,?,?,,,,,,
